city_id,city_name,state_id
331,Amarillo,46
332,Carmel,16
333,Ontario,5
334,Metairie,20
335,Sterling,50
336,Quincy,23
337,Danbury,7
338,Lenexa,18
339,Cherry Hill,32
340,Waukegan,15
341,Laurel,22
342,Roswell,11
343,Parker,6
344,New Brunswick,32
345,Burlington,23
346,Concord,5
347,Youngstown,37
348,Manassas,50
349,Lakewood,6
350,Lafayette,16
351,Iowa City,17
352,Framingham,23
353,Hickory,35
354,Auburn Hills,24
355,Clarksville,45
356,Brentwood,45
357,Katy,46
358,Kennesaw,11
359,Pierre,44
360,Grapevine,46
361,Cedar Park,46
362,Vienna,50
363,Roseville,5
364,Puyallup,51
365,Toms River,32
366,Brockton,23
367,Wallingford,7
368,Norcross,11
369,Urbana,15
370,Paterson,32
371,Bend,39
372,Costa Mesa,5
373,Livonia,24
374,Cupertino,5
375,Middletown,7
376,Carlsbad,5
377,Walnut Creek,5
378,Lake Charles,20
379,Pflugerville,46
380,Kirkland,51
381,Meriden,7
382,Pleasanton,5
383,High Point,35
384,Des Plaines,15
385,Duluth,11
386,North Las Vegas,30
387,Woodbridge,50
388,White Plains,34
389,Rock Hill,43
390,Saint Charles,27
391,New Braunfels,46
392,Abilene,46
393,Laredo,46
394,Allen,46
395,Johnson City,45
396,Janesville,53
397,Flint,24
398,King Of Prussia,40
399,Waterloo,17
400,Woburn,23
401,Meridian,14
402,Gainesville,11
403,Tuscaloosa,1
404,Norman,38
405,Daytona Beach,10
406,Lebanon,45
407,Berkeley,5
408,Chesterfield,27
409,Provo,47
410,El Segundo,5
411,West Des Moines,17
412,Oceanside,5
413,Rapid City,44
414,Somerville,23
415,Hagerstown,22
416,Dublin,37
417,Auburn,51
418,Southfield,24
419,Concord,35
420,Midland,46
421,Grand Forks,36
422,Gresham,39
423,Coppell,46
424,Jamaica,34
425,Buford,11
426,Florence,43
427,Sterling Heights,24
428,Elizabeth,32
429,Culver City,5
430,Pearland,46
431,San Leandro,5
432,Greenville,35
433,Westerville,37
434,Cheshire,7
435,Burlington,48
436,Council Bluffs,17
437,Miami Beach,10
438,Hendersonville,45
439,Greeley,6
440,Lynn,23
441,Newport Beach,5
442,Corona,5
443,Loveland,6
444,Flower Mound,46
445,Eau Claire,53
446,Federal Way,51
447,Chula Vista,5
448,Hamden,7
449,Hampton,50
450,Thousand Oaks,5
451,Inglewood,5
452,Terre Haute,16
453,Bothell,51
454,Muskegon,24
455,Hyattsville,22
456,Morrisville,35
457,Beaumont,46
458,Missoula,28
459,Lynchburg,50
460,Morgantown,52
461,Arlington Heights,15
462,Surprise,3
463,Fort Smith,4
464,Largo,10
465,Osseo,25
466,Bowie,22
467,Panama City,10
468,Lewiston,21
469,Bozeman,28
470,Kingsport,45
471,Jackson,24
472,Florence,19
473,Warwick,42
474,Towson,22
475,Dubuque,17
476,Fayetteville,4
477,Palatine,15
478,Novi,24
479,Summerville,43
480,Bangor,21
481,Pueblo,6
482,Annapolis Junction,22
483,Fullerton,5
484,Saint Cloud,25
485,Cumming,11
486,Springfield,37
487,Oxnard,5
488,Georgetown,46
489,Shawnee,18
490,Bedford,46
491,Lynnwood,51
492,Portsmouth,31
493,Flushing,34
494,Burnsville,25
495,Milpitas,5
496,Odessa,46
497,Brighton,6
498,Newton,23
499,Santa Barbara,5
500,Lees Summit,27
501,Greenwood,16
502,Orem,47
503,Bristol,7
504,Jackson,45
505,Skokie,15
506,Hendersonville,35
507,Mechanicsville,50
508,Hamilton,37
509,Escondido,5
510,Windsor,7
511,Elkhart,16
512,Nampa,14
513,Huntington Beach,5
514,Livermore,5
515,Elk Grove Village,15
516,Lawrence,23
517,Addison,46
518,Fontana,5
519,Rancho Cucamonga,5
520,Troy,34
521,Golden,6
522,Ashburn,50
523,Baytown,46
524,Mishawaka,16
525,Williamsburg,50
526,Oshkosh,53
527,Conroe,46
528,Northbrook,15
529,Brookfield,53
530,Whittier,5
531,Muncie,16
532,Newington,7
533,Wethersfield,7
534,Vero Beach,10
535,Queens,34
536,Layton,47
537,Flagstaff,3
538,San Marcos,46
539,Clifton,32
540,Goodyear,3
541,Royal Oak,24
542,Longview,46
543,Issaquah,51
544,Marlborough,23
545,Edmond,38
546,Brandon,10
547,Yakima,51
548,Saginaw,24
549,Fishers,16
550,Palmdale,5
551,Bolingbrook,15
552,Fall River,23
553,New Bedford,23
554,Downers Grove,15
555,Grand Junction,6
556,Mechanicsburg,40
557,Glen Burnie,22
558,Huntington,52
559,Commerce City,6
560,Mansfield,46
561,Elgin,15
562,Dothan,1
563,Gastonia,35
564,Boynton Beach,10
565,Mcallen,46
566,Idaho Falls,14
567,Saint Augustine,10
568,La Crosse,53
569,Ames,17
570,Lawrence,18
571,Bellingham,51
572,Euless,46
573,Florissant,27
574,Mission Viejo,5
575,College Station,46
576,Thornton,6
577,Fort Mill,43
578,Daly City,5
579,Easton,40
580,Albany,11
581,Rio Rancho,33
582,Andover,23
583,Wheat Ridge,6
584,Glen Allen,50
585,Anderson,43
586,Poughkeepsie,34
587,Yuma,3
588,Minnetonka,25
589,Lakewood,51
590,Mankato,25
591,Hoboken,32
592,Burlington,35
593,Gulfport,26
594,Leesburg,50
595,Owensboro,19
596,Greensburg,40
597,Natick,23
598,South Jordan,47
599,Mount Pleasant,43
600,Midlothian,50
601,Winchester,50
602,Delray Beach,10
603,Hattiesburg,26
604,West Hartford,7
605,Smyrna,45
606,Battle Creek,24
607,San Ramon,5
608,Medford,23
609,Santa Cruz,5
610,Van Nuys,5
611,Paramus,32
612,Pomona,5
613,Burleson,46
614,Mcdonough,11
615,Avondale,3
616,Jonesboro,4
617,Kenner,20
618,Joplin,27
619,Jeffersonville,16
620,Lebanon,31
621,Temple,46
622,Columbus,16
623,Winston-Salem,35
624,Broken Arrow,38
625,Rowlett,46
626,Hopkins,25
627,Vallejo,5
628,Webster,46
629,Fairfield,5
630,North Richland Hills,46
631,Harrisonburg,50
632,Wausau,53
633,Portsmouth,50
634,Castle Rock,6
635,Glenview,15
636,South Portland,21
637,Bessemer,1
638,Southlake,46
639,Norristown,40
640,Lebanon,40
641,Meridian,26
642,Northridge,5
643,Holland,24
644,Salinas,5
645,Traverse City,24
646,Beverly Hills,5
647,Germantown,22
648,Danville,40
649,Bentonville,4
650,Tualatin,39
651,Danville,15
652,Bellevue,29
653,Moreno Valley,5
654,Hanover,22
655,Santa Clarita,5
656,Downey,5
657,Bloomfield,7
658,Great Falls,28
659,Matthews,35
660,Cypress,46
661,Utica,34
662,Douglasville,11
663,San Angelo,46
664,Deerfield,15
665,Temecula,5
666,Salisbury,35
667,Belleville,15
668,Monroeville,40
669,Camp Hill,40
670,Warner Robins,11
671,Hackensack,32
672,Valdosta,11
673,Orland Park,15
674,State College,40
675,Alameda,5
676,Maple Plain,25
677,Ventura,5
678,Cape Coral,10
679,Fairbanks,2
680,El Cajon,5
681,Gary,16
682,Tracy,5
683,Winder,11
684,Menlo Park,5
685,Rocky Mount,35
686,Chico,5
687,Bountiful,47
688,Southaven,26
689,Lawton,38
690,Fort Belvoir,50
691,Hartford City,16
692,Pleasant Prairie,53
693,Lake Oswego,39
694,Wichita Falls,46
695,Killeen,46
696,Port Charlotte,10
697,Binghamton,34
698,San Luis Obispo,5
699,Draper,47
700,Altamonte Springs,10
701,Rogers,4
702,Lexington,23
703,Lima,37
704,Napa,5
705,Pawtucket,42
706,Newnan,11
707,Springdale,4
708,Braintree,23
709,Peyton,6
710,Elk Grove,5
711,Kokomo,16
712,Stone Mountain,11
713,Wayne,32
714,Bloomington,25
715,Milford,7
716,Noblesville,16
717,Mentor,37
718,Minot,36
719,Hurst,46
720,Ballwin,27
721,Carson,5
722,Cleveland,45
723,Mason,37
724,Brownsville,46
725,Alhambra,5
726,Hoffman Estates,15
727,Campbell,5
728,Chicopee,23
729,Arizona City,3
730,La Vergne,45
731,Decatur,1
732,West Chester,37
733,Richmond,5
734,Morristown,32
735,Farmington,24
736,Clearfield,47
737,Smyrna,11
738,Grand Island,29
739,Danville,50
740,Gallatin,45
741,Carol Stream,15
742,Parsippany,32
743,The Colony,46
744,Carlisle,40
745,Simi Valley,5
746,Peabody,23
747,Mooresville,35
748,Salisbury,22
749,Salem,23
750,Menomonee Falls,53
751,Lakewood,32
752,Wake Forest,35
753,Garden Grove,5
754,Saint Joseph,27
755,Dulles,50
756,Orange Park,10
757,Alexandria,20
758,New Castle,8
759,Enfield,7
760,Pocatello,14
761,Apex,35
762,Brookline,23
763,Rome,11
764,Midvale,47
765,Elizabethtown,19
766,Merrimack,31
767,Pontiac,24
768,Ithaca,34
769,Jacksonville,35
770,Woodland Hills,5
771,Antioch,45
772,Chambersburg,40
773,Mount Juliet,45
774,Reynoldsburg,37
775,Casper,54
776,Missouri City,46
777,Covington,19
778,Roswell,33
779,Plymouth,23
780,Findlay,37
781,Biloxi,26
782,Port Saint Lucie,10
783,Tupelo,26
784,Clermont,10
785,Weatherford,46
786,Santa Maria,5
787,Schertz,46
788,Tucker,11
789,Lone Tree,6
790,Valparaiso,16
791,Monroe,24
792,Canton,11
793,Palm Springs,5
794,Monroe,35
795,Suffolk,50
796,Vacaville,5
797,Keller,46
798,Stafford,46
799,Oak Lawn,15
800,Johnstown,40
801,Clackamas,39
802,Visalia,5
803,Lake Mary,10
804,Wyoming,24
805,Sanford,10
806,Hanover,40
807,Winter Park,10
808,Midland,24
809,Snellville,11
810,Oak Park,15
811,Waldorf,22
812,Atlantic City,32
813,Kearney,29
814,Lakeville,25
815,North Chicago,15
816,Rancho Cordova,5
817,Greer,43
818,Vernon Hills,15
819,Mount Laurel,32
820,Mansfield,37
821,Gurnee,15
822,Haverhill,23
823,Palm Beach Gardens,10
824,Gardena,5
825,Bridgewater,32
826,Conyers,11
827,Martinsburg,52
828,Ankeny,17
829,Huntersville,35
830,Lancaster,5
831,Monroe,20
832,Folsom,5
833,Niagara Falls,34
834,Corvallis,39
835,Pottstown,40
836,Southbury,7
837,Summit,32
838,Winter Haven,10
839,Fountain Valley,5
840,Oak Brook,15
841,Grove City,37
842,Fairfield,7
843,Kennewick,51
844,Cartersville,11
845,Hermitage,45
846,Oregon City,39
847,Woodstock,11
848,Hershey,40
849,Twin Falls,14
850,Paducah,19
851,Redondo Beach,5
852,Fenton,27
853,Galveston,46
854,Magna,47
855,Urbandale,17
856,Newark,5
857,Watertown,23
858,Williamsport,40
859,Cedar Hill,46
860,Vista,5
861,Stuart,10
862,Lexington,43
863,Slidell,20
864,Normal,15
865,Dover,31
866,Camarillo,5
867,Crystal Lake,15
868,Fort Walton Beach,10
869,Los Gatos,5
870,Hilliard,37
871,Aiken,43
872,Morganton,35
873,Louisville,6
874,Bel Air,22
875,Salem,31
876,Everett,23
877,Marysville,51
878,Vineland,32
879,Harlingen,46
880,Wilson,35
881,Leander,46
882,Sumter,43
883,Mason City,17
884,Redlands,5
885,Rockwall,46
886,Roanoke,46
887,Middletown,37
888,Taunton,23
889,Sheboygan,53
890,Leominster,23
891,Roy,47
892,Farmington Hills,24
893,San Rafael,5
894,Glastonbury,7
895,Fond Du Lac,53
896,Houma,20
897,Norwich,7
898,Weymouth,23
899,Altoona,40
900,Dublin,5
901,Lithonia,11
902,League City,46
903,Conway,4
904,Buffalo Grove,15
905,Wayne,40
906,Brea,5
907,New Albany,37
908,Norwood,23
909,Cranston,42
910,Beachwood,37
911,Portage,24
912,Merrillville,16
913,Prescott,3
914,Milford,23
915,Riverview,10
916,Burlingame,5
917,Petaluma,5
918,Torrington,7
919,Garden City,34
920,Suwanee,11
921,Park City,47
922,Union City,5
923,Logan,47
924,Holyoke,23
925,Melrose Park,15
926,Bedford,23
927,College Park,22
928,Canton,24
929,Anderson,16
930,Woonsocket,42
931,Texas City,46
932,Langhorne,40
933,West Covina,5
934,Brunswick,11
935,Bryan,46
936,Madison,1
937,Compton,5
938,Cuyahoga Falls,37
939,Bremerton,51
940,Jupiter,10
941,Strongsville,37
942,Pittsfield,23
943,Plainfield,16
944,Wilmington,23
945,Danvers,23
946,Tinley Park,15
947,Victorville,5
948,San Marcos,5
949,Warren,37
950,Media,40
951,Valley Stream,34
952,Hazleton,40
953,North Little Rock,4
954,Melville,34
955,Wheeling,15
956,Middletown,34
957,Upper Marlboro,22
958,Libertyville,15
959,Brooksville,10
960,Manhattan,18
961,Rocky Hill,7
962,Saint George,47
963,La Mesa,5
964,Wheaton,15
965,Asheboro,35
966,Westport,7
967,North Hollywood,5
968,Cookeville,45
969,Stratford,7
970,Liverpool,34
971,Malden,23
972,Casa Grande,3
973,Madison,45
974,West Valley City,47
975,Chino,5
976,Goldsboro,35
977,Dedham,23
978,New Berlin,53
979,Chester,40
980,Austell,11
981,Elyria,37
982,Palm Bay,10
983,Fayetteville,11
984,Merced,5
985,Auburn,21
986,La Jolla,5
987,Blue Springs,27
988,Salina,18
989,Kalispell,28
990,Victoria,46
991,Hawthorne,5
992,Sun City,3
993,Grand Blanc,24
994,Goshen,16
995,Edinburg,46
996,Wesley Chapel,10
997,Parkersburg,52
998,Richmond,16
999,Statesville,35
1000,Deerfield Beach,10
1001,Tustin,5
1002,Prosper,46
1003,Shakopee,25
1004,Hammond,16
1005,Papillion,29
1006,Taylor,24
1007,Biddeford,21
1008,Plainville,7
1009,Richland,51
1010,Lombard,15
1011,Rochester,24
1012,Beckley,52
1013,Kingwood,46
1014,Newburgh,34
1015,Pooler,11
1016,Columbia,45
1017,Franklin,16
1018,Lake Havasu City,3
1019,Northampton,23
1020,Chelsea,23
1021,Tomball,46
1022,Richmond,46
1023,Centreville,50
1024,Texarkana,46
1025,El Monte,5
1026,Winter Garden,10
1027,Lacey,51
1028,Bossier City,20
1029,Valencia,5
1030,Derry,31
1031,Pasco,51
1032,Dalton,11
1033,Murrieta,5
1034,Edmonds,51
1035,Cibolo,46
1036,Groveport,37
1037,Great Neck,34
1038,North Haven,7
1039,Hilton Head Island,43
1040,Lorain,37
1041,New Albany,16
1042,Beverly,23
1043,West Sacramento,5
1044,Carrollton,11
1045,Centennial,6
1046,Grandville,24
1047,Lehi,47
1048,Butler,40
1049,Silverdale,51
1050,Clovis,5
1051,New Bern,35
1052,Farmington,33
1053,Buena Park,5
1054,New Port Richey,10
1055,Chelmsford,23
1056,Lake Worth,10
1057,Liberty,27
1058,Shelton,7
1059,Fairfield,37
1060,New Rochelle,34
1061,Elmira,34
1062,Westland,24
1063,Revere,23
1064,Leawood,18
1065,Bridgeton,27
1066,Stockbridge,11
1067,New Baltimore,24
1068,Avon,7
1069,Malvern,40
1070,Aberdeen,44
1071,New Hyde Park,34
1072,Turlock,5
1073,Woodinville,51
1074,Citrus Heights,5
1075,Greenville,46
1076,Neenah,53
1077,Long Island City,34
1078,Somerset,32
1079,Warsaw,16
1080,Owings Mills,22
1081,Davis,5
1082,Mchenry,15
1083,Niles,15
1084,Perris,5
1085,Los Altos,5
1086,Mount Prospect,15
1087,Hobbs,33
1088,Conshohocken,40
1089,Garner,35
1090,Ypsilanti,24
1091,Westminster,22
1092,Cromwell,7
1093,Salem,50
1094,Westborough,23
1095,Rutland,48
1096,Levittown,40
1097,Venice,10
1098,Kyle,46
1099,Exton,40
1100,Sandusky,37
1101,Keene,31
1102,Lake Forest,15
1103,Burlington,32
1104,Wilsonville,39
1105,Euclid,37
1106,Fort Pierce,10
1107,Washington,40
1108,Acworth,11
1109,Plainfield,15
1110,Billerica,23
1111,North Salt Lake,47
1112,Beloit,53
1113,Southington,7
1114,Richmond,19
1115,Greenbelt,22
1116,Lafayette,6
1117,Bellaire,46
1118,Enid,38
1119,Stanford,5
1120,Solon,37
1121,Covington,20
1122,Ellicott City,22
1123,West Jefferson,37
1124,Brevard,35
1125,Avon,16
1126,Simpsonville,43
1127,Riverton,47
1128,Gadsden,1
1129,Seguin,46
1130,Elmhurst,15
1131,Westfield,23
1132,Greenwich,7
1133,Alamogordo,33
1134,East Saint Louis,15
1135,Petersburg,50
1136,Emeryville,5
1137,Waxahachie,46
1138,American Fork,47
1139,Antioch,5
1140,Rolling Meadows,15
1141,Highland Park,15
1142,Homestead,10
1143,Olive Branch,26
1144,Naugatuck,7
1145,Duncanville,46
1146,Gig Harbor,51
1147,Brunswick,21
1148,Stillwater,38
1149,Cicero,15
1150,Lisle,15
1151,Covington,11
1152,Barrington,15
1153,Medina,37
1154,La Porte,46
1155,Maryville,45
1156,Perrysburg,37
1157,Inver Grove Heights,25
1158,Gilroy,5
1159,Doylestown,40
1160,Encinitas,5
1161,Cape Girardeau,27
1162,Park Ridge,15
1163,Pembroke Pines,10
1164,Poway,5
1165,Monterey,5
1166,Brick,32
1167,Apopka,10
1168,Secaucus,32
1169,Wylie,46
1170,Plant City,10
1171,Scarborough,21
1172,Arcadia,5
1173,Wenatchee,51
1174,Palm Desert,5
1175,Happy Valley,39
1176,Lancaster,43
1177,Newport,42
1178,Norwalk,5
1179,Desoto,46
1180,Stafford,50
1181,Germantown,45
1182,Greenfield,16
1183,Castro Valley,5
1184,Hopkinsville,19
1185,Johnston,42
1186,Rochester,31
1187,Novato,5
1188,Chester,50
1189,Bensalem,40
1190,Hilo,13
1191,Huntsville,46
1192,Anniston,1
1193,Kingston,34
1194,Upland,5
1195,Miamisburg,37
1196,Caldwell,14
1197,Oak Ridge,45
1198,Pinellas Park,10
1199,Auburn,1
1200,Albany,39
1201,Clayton,35
1202,Lake Zurich,15
1203,Bee Cave,46
1204,Saratoga Springs,34
1205,Tolleson,3
1206,Saugus,23
1207,Moline,15
1208,Waynesville,35
1209,Collierville,45
1210,Florence,1
1211,Lutz,10
1212,Needham,23
1213,Maryland Heights,27
1214,Brooklyn Park,25
1215,Santa Fe Springs,5
